时间,标题,简讯,date
2024-03-05 09:31:37,北向资金净买入15.54亿元 贵州茅台获净买入7.49亿元,北向资金净买入15.54亿元，贵州茅台、中际旭创、长江电力分别获净买入7.49亿元、5.25亿元、4.5亿元。美的集团净卖出额居首，金额为3.15亿元。,2024-03-05
2024-03-05 09:20:59,媒体：超威半导体（AMD）对华销售“定制版AI芯片” 被美政府认定“性能太强”阻拦,"【媒体：超威半导体（AMD）对华销售“定制版AI芯片” 被美政府认定“性能太强”阻拦】财联社3月5日电，据路透社援引美国彭博社4日消息，美国超威半导体公司（AMD）在向中国市场销售“定制版人工智能（AI）芯片”时，遇到了来自美国政府的阻碍。报道声称，这是华盛顿打击向中国出口“先进技术”计划的一部分。对于美方限制芯片出口的举动，中方曾表示，事实证明，“小院高墙”挡不住中国创新发展的步伐，也不利于包括美国企业在内整个产业的健康发展。

报道称，AMD尝试获得美国商务部的批准，以向中国客户出售AI芯片。报道援引知情人士的话称，AMD对华出售的“定制版AI芯片”性能低于该公司在中国以外地区销售的芯片性",2024-03-05
2024-03-05 08:09:35,香港恒生指数收跌2.61% 恒生科技指数跌4.34%,【香港恒生指数收跌2.61% 恒生科技指数跌4.34%】财联社3月5日电，香港恒生指数收跌2.61%，恒生科技指数跌4.34%。汽车股走弱，零跑汽车、理想汽车跌超5%，蔚来跌超4%；微博跌超9%，京东集团跌超7%，美团、百度集团跌超5%。,2024-03-05
2024-03-05 07:56:32,习近平参加江苏代表团审议,【习近平参加江苏代表团审议】5日下午，中共中央总书记、国家主席、中央军委主席习近平参加他所在的十四届全国人大二次会议江苏代表团审议。,2024-03-05
2024-03-05 07:32:57,3月5日涨停分析,【3月5日涨停分析】今日共48股涨停，连板股总数13只，24股封板未遂，封板率为67%（不含ST股、退市股及未开板新股）。个股方面，算力板块高新发展13天9板、安奈儿6板、广脉科技北交所首板，氢能概念股东方精工8天7板、天元智能5板，光通信板块汇源通信12天7板，实控人变更的文投控股9天6板，消费电子板块福蓉科技4板、卓翼科技3板，AI概念股时空科技2板、智能自控2板。今日沪深两市收涨个股906只，收跌个股4131只。,2024-03-05
2024-03-05 07:05:14,东部战区回应美舰过航台湾海峡：全程跟踪监视，依法依规处置,【东部战区新闻发言人就美“菲恩”号导弹驱逐舰过航台湾海峡发表谈话】财联社3月5日电，东部战区新闻发言人施毅陆军大校表示，3月5日，美“菲恩”号导弹驱逐舰过航台湾海峡并公开炒作。中国人民解放军东部战区组织海空兵力全程跟踪监视，依法依规处置。战区部队时刻保持高度戒备，随时应对一切威胁挑衅。,2024-03-05
2024-03-05 07:03:48,收评：沪指低开反弹涨0.28% 汽车股尾盘集体走强,【收评：沪指低开反弹涨0.28% 汽车股尾盘集体走强】财联社3月5日电，市场全天震荡分化，沪指偏强。指数黄白分时线明显分化，中小盘个股普跌。盘面上，军工股开盘冲高，观想科技、立航科技涨停。飞行汽车概念股表现活跃，金盾股份20CM涨停。AI概念股全天冲高回落，高新发展、大华股份涨停。消费电子概念震荡反弹，贝隆精密、福蓉科技、日久光电等涨停。汽车整车股尾盘异动，东风汽车、安凯客车涨停。下跌方面，医药股集体调整，美迪西等多股跌超5%。总体上个股跌多涨少，全市场超4300只个股下跌。沪深两市今日成交额10670亿，较上个交易日缩量101亿。板块方面，汽车整车、飞行汽车、银行、国防军工等板块涨幅居前，C,2024-03-05
2024-03-05 07:00:59,国内商品期货收盘 碳酸锂跌超7%,【国内商品期货收盘 碳酸锂跌超7%】财联社3月5日电，国内商品期货收盘，涨跌参半。碳酸锂跌超7%，PX、PTA跌超2%，短纤、塑料等跌超1%，NR、棉纱等小幅下跌；纯碱涨超4%，沪银涨超2%，沪金涨超1%，鸡蛋、玻璃等小幅上涨。,2024-03-05
2024-03-05 06:47:33,,财联社3月5日电，沪深两市成交额连续第五个交易日突破1万亿元，较上一日此时缩量200亿元。,2024-03-05
2024-03-05 06:30:41,国务院国资委：国有车企在新能源汽车方面发展还不够快 对三家中央车企进行新能源汽车业务的单独考核,【国务院国资委：国有车企在新能源汽车方面发展还不够快 对三家中央车企进行新能源汽车业务的单独考核】财联社3月5日电，国务院国资委主任张玉卓在十四届全国人大二次会议首场“部长通道”集中采访活动上表示，从国资监管来讲，主要是要激励企业大胆创新，破除一些影响高质量发展的体制机制障碍。比如新能源汽车，国有汽车企业在这方面发展还不够快，我们调整政策，对三家中央汽车企业，进行新能源汽车业务的单独考核。因为我们注意到，汽车行业全世界都是这样子，燃油车在还很有优势的情况下，企业布局新能源汽车，一开始投入会比较大，如果对它考核当期利润，就不太容易去全速推进，我们出政策就是要破除这个障碍，考核它的,2024-03-05
