时间,标题,简讯,date
2024-06-07 17:31:29,北向资金今日净卖出7.05亿元 贵州茅台遭净卖出13.19亿元,北向资金今日净卖出7.05亿元。贵州茅台、宁德时代、美的集团分别获净卖出13.19亿元、6.58亿元、5.37亿元。北方华创净买入额居首，金额为3.27亿元。,2024-06-07
2024-06-07 16:41:47,证监会征求意见：严重损害资本市场投资者、交易者权益，影响恶劣等情形 从重处罚,【证监会征求意见：严重损害资本市场投资者、交易者权益，影响恶劣等情形 从重处罚】财联社6月7日电，证监会就《中国证监会行政处罚裁量基本规则（征求意见稿）》公开征求意见。行政处罚裁量应当综合考虑资本市场监管需要等因素，确保处罚必要、适当，并符合社会公序良俗和公众合理期待。对同一时期类别、性质、情节相似的案件，处理结果应当基本均衡。有下列情形之一的，从重处罚：（一）严重违反市场公开公平公正原则，影响资本市场秩序稳定，可能引发金融风险、严重危害金融安全；（二）严重损害资本市场投资者、交易者权益，影响恶劣；（三）违法行为相关事项涉及当事人贿赂情形；（四）殴打、围攻、推搡、抓挠执法人员，造成执法人员人身,2024-06-07
2024-06-07 16:33:51,资本市场首部系统性行政处罚标准即将出台：严打贿赂、一事不二罚款、立体追责,【资本市场首部系统性行政处罚标准即将出台：严打贿赂、一事不二罚款、立体追责】财联社6月7日电，证监会发布《中国证监会行政处罚裁量基本规则(征求意见稿)》。《裁量基本规则》共二十六条，首先，严惩特色鲜明，与当前严监管基调一脉相承。比如，在遵循司法“从旧兼从轻”原则的基础上，附加“跨越新旧法的法律适用”规则，明确违法行为始于法律、行政法规、规章修改生效之前，终于修改生效之后的，适用新的规定进行处罚。其次，既注重让违法违规主体“少折腾”，又强调严厉追责。比如，既规定“一事不二罚款”，又强调行政、民事、刑事相结合，全方位立体化追责。再者，鼓励“自首”“立功”“坦白”，对案发前主动举报单位违法行为、积极,2024-06-07
2024-06-07 16:30:05,两部门再次发文：优化完善城市协调机制 精准支持房地产项目合理融资,【两部门再次发文：优化完善城市协调机制 精准支持房地产项目合理融资】财联社6月7日电，金融监管总局和住房城乡建设部联合印发《关于进一步发挥城市房地产融资协调机制作用 满足房地产项目合理融资需求的通知》。《通知》明确，各省（自治区、直辖市）人民政府要指导地级及以上城市完善协调机制，由城市政府主要负责同志任组长，分管住房城乡建设、金融工作的负责同志任副组长，相关部门及金融机构为成员单位。《通知》要求金融机构按照市场化、法治化原则，评估“白名单”项目融资需求，独立评审、自主决策。明确一个项目确定一家主办银行负责项目后续融资，主办银行要建立绿色通道，可单列授信额度。金融机构要根据《通知》制定尽职免责具,2024-06-07
2024-06-07 16:21:14,证监会就《中国证监会行政处罚裁量基本规则（征求意见稿）》公开征求意见,【证监会就《中国证监会行政处罚裁量基本规则（征求意见稿）》公开征求意见】财联社6月7日电，为进一步规范中国证监会及其派出机构行政处罚裁量，统一执法尺度，增强裁量公开性，实现裁量公正，证监会系统梳理近年行政处罚实践、广泛调研听取各方意见建议、充分借鉴国内外成熟经验，研究制定《中国证监会行政处罚裁量基本规则(征求意见稿)》，现向社会公开征求意见。,2024-06-07
2024-06-07 16:09:37,国家发改委：2024年继续实施粗钢产量调控 到2025年底废钢利用量达到3亿吨,【国家发改委：2024年继续实施粗钢产量调控】财联社6月7日电，国家发改委等部门印发《钢铁行业节能降碳专项行动计划》的通知。2024年继续实施粗钢产量调控。到2025年底，钢铁行业能效标杆水平以上产能占比达到30%，能效基准水平以下产能完成技术改造或淘汰退出。大气污染防治重点区域要进一步提高钢铁行业能耗、环保、质量、安全、技术等要求，逐步淘汰限制类工艺和装备。到2025年底，废钢利用量达到3亿吨，电炉钢产量占粗钢总产量比例力争提升至15%。,2024-06-07
2024-06-07 16:07:27,国家发改委：到2025年底 钢铁行业高炉、转炉工序单位产品能耗分别比2023年降低1%以上,【国家发改委：到2025年底 钢铁行业高炉、转炉工序单位产品能耗分别比2023年降低1%以上】财联社6月7日电，国家发改委等部门关于印发《钢铁行业节能降碳专项行动计划》的通知。到2025年底，钢铁行业高炉、转炉工序单位产品能耗分别比2023年降低1%以上，电弧炉冶炼单位产品能耗比2023年降低2%以上，吨钢综合能耗比2023年降低2%以上，余热余压余能自发电率比2023年提高3个百分点以上。2024—2025年，通过实施钢铁行业节能降碳改造和用能设备更新形成节能量约2000万吨标准煤、减排二氧化碳约5300万吨。,2024-06-07
2024-06-07 16:03:27,,"财联社6月7日电，中国5月末黄金储备1,709.6亿美元，维持不变，此前已连续18个月上升。",2024-06-07
2024-06-07 15:15:44,6月7日涨停分析,【6月7日涨停分析】今日共58股涨停，连板股总数5只，18股封板未遂，封板率为76%（不含ST股、退市股及未开板新股）。焦点股方面，协和电子晋级5连板，中晶科技、开普检测双双晋级3连板，低价股爆发，华闻集团4天3板、赫美集团2连板。今日沪深两市收涨个股3908只，收跌个股1125只。,2024-06-07
2024-06-07 15:08:32,科创板收评：科创50指数收跌0.71% 软件开发板块走强,【科创板收评：科创50指数收跌0.71% 软件开发板块走强】《科创板日报》7日讯，今日，科创50指数收跌0.71%，报737.93点。盘面上，软件开发板块走强，云天励飞20CM涨停，中科通达、纬德信息涨超6%，云涌科技涨超4%，普元信息、和达科技等跟涨。消息面上，中信证券研报表示持续看好基础软件板块下半年业绩复苏和估值修复带来的投资机会。环保概念股表现活跃，卓锦股份涨超10%，力源科技涨超9%，京源环保、通源环境涨超6%，元琛科技涨超5%。半导体板块表现疲软，源杰科技跌超6%，纳芯微、和林微纳跌超5%，臻镭科技、锴威特等跟跌。,2024-06-07
