序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002795,永和智控,-9.905660629272461,3.82,205936006,1660831129.54,1702780585.6,-15.140118598937988,12.075343132019043,183283,143233,24222238,1,1,通用设备,2024-10-11
2,603978,深圳新星,-9.98116683959961,14.34,590661312,2585807427.66,2585807427.66,-22.548931121826172,21.932903289794922,287875,144754,143723833,1,9,有色金属,2024-10-11
3,000668,荣丰控股,-10.0,7.38,103881242,1083693148.2,1083693148.2,-30.823331832885742,9.219412803649902,1244268,145651,14528268,1,2,房地产开,2024-10-11
4,000697,炼石航空,-10.012836456298828,7.01,229216482,3953569093.85,6120437168.8,-23.01509666442871,5.614980220794678,1300088,143442,32945926,1,1,航天航空,2024-10-11
5,603496,恒为科技,-10.010427474975586,25.89,773734992,8290217301.27,8290217430.72,57.7830696105957,9.026656150817871,1520623,143203,123642303,1,4,互联网服,2024-10-11
6,000850,华茂股份,-9.902912139892578,4.64,272508704,4377361518.559999,4378605637.12,107.64798736572266,6.0822434425354,1899152,145618,16800512,1,2,纺织服装,2024-10-11
7,002355,兴民智通,-9.985315322875977,6.13,547216944,3789361564.5,3804096552.0,299.0023193359375,14.04391098022461,3400924,145403,55676338,1,4,汽车零部,2024-10-11
8,002883,中设股份,-9.991235733032227,10.27,212095455,1399382199.6699998,1603734094.82,42.58501052856445,14.590394973754883,5663319,140433,20144605,1,1,工程咨询,2024-10-11
9,600099,林海股份,-9.97008991241455,9.03,117008031,1978653599.9999998,1978653599.9999998,115.55621337890625,5.813070297241211,8070192,140728,31065906,1,3,交运设备,2024-10-11
10,300853,申昊科技,-19.991270065307617,18.33,539466256,2020957799.6399999,2693443157.3399997,-19.445009231567383,26.121009826660156,8841658,142454,557175224,1,12,通用设备,2024-10-11
11,601858,中国科传,-9.986801147460938,20.46,484509360,16173630000.0,16173630000.0,57.847137451171875,2.942847490310669,8920560,140544,68199318,1,3,文化传媒,2024-10-11
12,600650,锦江在线,-9.993108749389648,13.06,392537232,5100714579.5,7204028062.72,35.077274322509766,7.440954208374023,9391446,145053,27841308,1,2,铁路公路,2024-10-11
13,002908,德生科技,-9.979633331298828,8.84,190585897,2727347961.0,3813859728.64,136.57810974121094,6.785081386566162,9964288,140139,25946284,1,1,软件开发,2024-10-11
14,600696,岩石股份,-10.018726348876953,9.61,124747346,3214251231.91,3214251164.64,-20.76990509033203,3.840081214904785,16206246,134317,20594230,1,1,酿酒行业,2024-10-11
15,600560,金自天正,-10.0,14.49,252419498,3240623295.0,3240623295.0,87.98365020751953,7.658215045928955,16863722,135223,39292272,1,2,专用设备,2024-10-11
16,603728,鸣志电器,-10.008136749267578,44.24,721833600,18531361800.0,18583719840.0,232.1307830810547,3.7639381885528564,16877383,140306,49712488,1,0,电机,2024-10-11
17,600990,四创电子,-10.0,21.15,332330736,5689618520.4,5780079439.2,-74.1911849975586,5.714043617248535,21150084,112710,65182833,1,7,通信设备,2024-10-11
18,601777,力帆科技,-9.925093650817871,4.81,652055808,21746491341.51,21746491153.92,415.1072998046875,2.9325568675994873,21170253,134409,123372309,1,7,汽车整车,2024-10-11
19,600666,奥瑞德,-9.767441749572754,1.94,329957568,4694320693.9,5361214925.12,-507.8925476074219,6.867697238922119,21718111,135702,28302466,1,0,光学光电,2024-10-11
20,000536,华映科技,-9.944750785827637,3.26,637802448,9007649002.16,9017266928.0,-7.996028423309326,7.001543998718262,24023445,134951,102994156,2,1,光学光电,2024-10-11
21,000717,中南股份,-9.82456111907959,2.57,298879520,6228456268.799999,6229283150.879999,-6.937103271484375,4.728981971740723,30854893,132045,104004507,1,0,钢铁行业,2024-10-11
22,600390,XD五矿资,-9.972298622131348,6.5,3054413952,29237425483.5,29237425152.0,16.282934188842773,10.131403923034668,33317381,144845,15307419359,2,2,多元金融,2024-10-11
23,603188,亚邦股份,-9.975062370300293,3.61,52512338,2058313700.0,2058313700.0,129.69973754882812,2.5217742919921875,35647316,093132,30793661,1,0,化学制品,2024-10-11
24,603383,顶点软件,-10.007468223571777,36.15,598131568,7367182706.849999,7426526546.849999,76.11894226074219,8.064934730529785,36726954,134435,2683921863,2,9,软件开发,2024-10-11
25,000062,深圳华强,-9.985527992248535,24.88,1728883408,25985178706.079998,26022224080.64,73.69298553466797,6.525140285491943,37026664,143854,136119724,2,0,电子元件,2024-10-11
26,000628,高新发展,-9.994528770446777,49.35,1511197040,9479360698.5,17385018000.0,148.14414978027344,15.538619995117188,42349110,140412,141856575,1,0,工程建设,2024-10-11
27,600702,舍得酒业,-10.001374244689941,65.51,1684315680,21766977630.91,21825808427.84,18.469541549682617,7.499434947967529,59350749,135511,133242819,1,1,酿酒行业,2024-10-11
28,601162,天风证券,-10.041841506958008,4.3,8991970816,37262757095.2,37262756992.0,-57.507816314697266,23.94919204711914,123354284,145050,45844577160,2,9,证券,2024-10-11
29,601933,永辉超市,-9.907120704650879,2.91,1225426976,26408357649.63,26408357460.48,47.960304260253906,4.567923545837402,130750170,135047,1762411052,3,0,商业百货,2024-10-11
30,603106,恒银科技,-9.967496871948242,8.31,31459167,4325521200.0,4325521200.0,-59.00459289550781,0.7272919416427612,312465847,092501,818399547,2,0,计算机设,2024-10-11
31,000032,深桑达Ａ,-9.984794616699219,17.76,374670480,11451005283.36,20210155960.320004,-266.685546875,3.2530517578125,391017924,093206,1347706944,1,0,通信设备,2024-10-11
32,002693,双成药业,-9.988776206970215,16.04,61935252,6598568819.839999,6651623493.759999,-196.25750732421875,0.9386164546012878,733292772,092500,1239205488,2,0,生物制品,2024-10-11
