序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301567,N贝隆,62.67,192.03,41.21,151174,924163494.61,130.48,83.0,55.0,55.0,21.46,,83.99,79.32,6.36,2024-01-16
2,603312,C西典,42.85,-8.28,-3.87,175341,767015472.0,6.89,45.52,42.3,44.88,46.72,0.81,51.45,36.22,4.17,2024-01-16
3,001387,C雪祺,28.7,-3.37,-1.0,144902,412221024.95,6.09,29.5,27.69,28.4,29.7,0.64,43.25,30.45,3.49,2024-01-16
4,603325,C博隆,77.95,1.25,0.96,44889,351291954.0,5.12,79.83,75.89,76.7,76.99,0.63,27.48,21.99,2.43,2024-01-16
5,688717,艾罗能源,115.85,-3.46,-4.15,58683,673550849.0,8.32,119.98,110.0,119.98,120.0,0.84,31.62,13.65,4.32,2024-01-16
6,301566,达利凯普,23.23,-5.65,-1.39,122285,286604760.74,6.09,24.37,22.87,24.02,24.62,0.88,26.74,70.28,7.54,2024-01-16
7,301578,辰奕智能,66.5,-4.18,-2.9,28783,191699493.81,4.28,68.6,65.63,68.6,69.4,0.79,25.3,36.97,3.58,2024-01-16
8,603004,鼎龙科技,28.59,1.06,0.3,141303,406103476.0,3.46,29.25,28.27,28.55,28.29,0.62,24.49,41.68,3.65,2024-01-16
9,301526,国际复材,5.39,-0.74,-0.04,1177700,628241495.37,5.52,5.49,5.19,5.43,5.43,0.77,21.57,36.37,2.42,2024-01-16
10,601096,宏盛华源,6.78,2.57,0.17,2990668,1991067266.0,8.47,6.92,6.36,6.7,6.61,0.95,46.1,152.86,4.31,2024-01-16
11,001358,兴欣新材,43.12,-2.11,-0.93,24379,105030087.33,3.43,44.01,42.5,43.75,44.05,0.83,11.31,22.11,2.53,2024-01-16
12,603373,安邦护卫,39.45,1.7,0.66,53052,206228980.0,5.41,39.77,37.67,38.51,38.79,0.9,20.14,42.44,2.54,2024-01-16
13,301413,安培龙,62.3,0.0,0.0,14958,91932347.21,2.36,62.35,60.88,61.98,62.3,0.67,9.26,58.02,4.18,2024-01-16
