代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,date
bj430017,星昊医药,10.69,0.06,0.564,10.68,10.69,10.63,10.62,10.75,10.62,180711.0,1932627.0,2024-06-28
bj430047,诺思兰德,13.89,0.36,2.661,13.89,13.9,13.53,13.58,13.98,13.08,924775.0,12509650.0,2024-06-28
bj430090,同辉信息,2.6,-0.02,-0.763,2.6,2.61,2.62,2.59,2.69,2.58,3200091.0,8428839.0,2024-06-28
bj430139,华岭股份,9.34,0.02,0.215,9.34,9.35,9.32,9.32,9.61,9.3,936016.0,8878909.0,2024-06-28
bj430198,微创光电,4.78,-0.07,-1.443,4.78,4.81,4.85,4.8,4.9,4.77,1639342.0,7931259.0,2024-06-28
bj430300,辰光医疗,7.3,-0.1,-1.351,7.3,7.32,7.4,7.36,7.49,7.23,460132.0,3373885.0,2024-06-28
bj430418,苏轴股份,13.26,-0.02,-0.151,13.25,13.26,13.28,13.29,13.5,13.05,506992.0,6751586.0,2024-06-28
bj430425,乐创技术,11.0,0.02,0.182,11.0,11.03,10.98,10.82,11.28,10.76,1894835.0,20864524.0,2024-06-28
bj430476,海能技术,7.4,0.02,0.271,7.36,7.4,7.38,7.37,7.53,7.36,126336.0,940129.0,2024-06-28
bj430478,峆一药业,11.77,0.01,0.085,11.77,11.8,11.76,11.84,11.93,11.74,348233.0,4111346.0,2024-06-28
bj430489,佳先股份,6.3,0.06,0.962,6.29,6.3,6.24,6.33,6.35,6.22,1560836.0,9806479.0,2024-06-28
bj430510,丰光精密,15.23,-0.04,-0.262,15.23,15.24,15.27,15.11,15.5,15.01,1241202.0,19012109.0,2024-06-28
bj430556,雅达股份,4.09,0.02,0.491,4.09,4.1,4.07,4.07,4.14,4.06,588655.0,2419961.0,2024-06-28
bj430564,天润科技,8.31,0.04,0.484,8.3,8.31,8.27,8.3,8.54,8.2,969813.0,8125759.0,2024-06-28
bj430685,新芝生物,7.65,0.04,0.526,7.6,7.66,7.61,7.65,7.74,7.48,415451.0,3168200.0,2024-06-28
bj430718,合肥高科,9.54,0.09,0.952,9.38,9.54,9.45,9.42,9.54,9.33,276692.0,2617077.0,2024-06-28
bj830779,武汉蓝电,21.78,0.06,0.276,21.77,21.79,21.72,21.78,21.91,21.59,38021.0,828061.0,2024-06-28
bj830799,艾融软件,9.5,-0.13,-1.35,9.5,9.51,9.63,9.63,9.77,9.42,3119807.0,30049391.0,2024-06-28
bj830809,安达科技,3.81,0.18,4.959,3.81,3.82,3.63,3.65,3.89,3.64,2666891.0,10065744.0,2024-06-28
bj830832,齐鲁华信,4.01,0.02,0.501,3.98,4.01,3.99,3.97,4.01,3.94,225580.0,900762.0,2024-06-28
bj830839,万通液压,9.82,0.02,0.204,9.77,9.85,9.8,9.69,9.94,9.62,60730.0,596953.0,2024-06-28
bj830879,基康仪器,8.07,0.01,0.124,8.07,8.08,8.06,8.09,8.22,7.9,227090.0,1841683.0,2024-06-28
bj830896,旺成科技,6.97,0.01,0.144,6.97,6.99,6.96,6.92,7.18,6.92,358809.0,2525379.0,2024-06-28
bj830946,森萱医药,6.32,0.03,0.477,6.31,6.32,6.29,6.34,6.46,6.27,452195.0,2863220.0,2024-06-28
bj830964,润农节水,2.76,0.0,0.0,2.76,2.77,2.76,2.75,2.8,2.75,869928.0,2406930.0,2024-06-28
bj830974,凯大催化,4.76,0.06,1.277,4.75,4.76,4.7,4.75,4.85,4.72,572827.0,2733231.0,2024-06-28
bj831010,凯添燃气,3.68,0.0,0.0,3.67,3.68,3.68,3.66,3.72,3.66,774352.0,2859170.0,2024-06-28
bj831039,国义招标,5.28,-0.06,-1.124,5.28,5.29,5.34,5.33,5.38,5.23,301049.0,1601965.0,2024-06-28
bj831087,秋乐种业,6.35,0.06,0.954,6.34,6.35,6.29,6.24,6.36,6.22,1445423.0,9124102.0,2024-06-28
bj831152,昆工科技,9.7,-0.16,-1.623,9.7,9.71,9.86,9.67,10.1,9.54,979829.0,9562337.0,2024-06-28
bj831167,鑫汇科,12.08,0.48,4.138,12.08,12.09,11.6,11.56,12.19,11.56,1284426.0,15324928.0,2024-06-28
bj831175,派诺科技,11.25,0.18,1.626,11.25,11.26,11.07,11.2,11.46,11.06,723618.0,8182833.0,2024-06-28
bj831195,三祥科技,7.45,0.05,0.676,7.41,7.45,7.4,7.39,7.5,7.33,562866.0,4184804.0,2024-06-28
bj831278,XD泰德股,4.03,0.0,0.0,4.03,4.04,4.03,4.14,4.14,4.01,1740336.0,7082439.0,2024-06-28
bj831304,迪尔化工,6.09,0.02,0.329,6.09,6.11,6.07,6.08,6.16,6.08,738523.0,4511855.0,2024-06-28
bj831305,海希通讯,10.22,-0.03,-0.293,10.21,10.22,10.25,10.21,10.3,10.13,52574.0,537562.0,2024-06-28
bj831370,新安洁,1.73,0.01,0.581,1.72,1.73,1.72,1.73,1.74,1.71,665331.0,1149539.0,2024-06-28
bj831396,许昌智能,5.2,0.05,0.971,5.2,5.21,5.15,5.14,5.32,5.12,1842843.0,9613625.0,2024-06-28
