序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,000727,冠捷科技,5.555555820465088,2.85,2.97,1865291664,12909265893.0,12909265881.6,14.330676078796387,0.0,092500,1,2/1,7.037036895751953,光学光电,2024-10-31
2,001267,汇绿生态,0.2631579041481018,7.62,8.36,1085169040,2766031638.36,5940334250.88,37.2835693359375,0.2631579041481018,092500,2,3/2,11.184210777282715,工程建设,2024-10-31
3,600843,上工申贝,5.924595832824707,17.7,18.38,2619467968,8305242321.0,12623046696.0,30.713790893554688,-3.699673652648926,092503,11,9/7,9.99401569366455,专用设备,2024-10-31
4,001205,盛航股份,-4.579832077026367,22.71,26.18,683244032,3048248591.79,3903613928.79,21.329118728637695,0.48672565817832947,093000,1,0/0,16.26050567626953,航运港口,2024-10-31
5,002671,龙泉股份,6.236080169677734,4.77,4.94,347086016,2634849370.7099996,2692983407.04,12.921151161193848,-0.2092050164937973,093000,2,0/0,5.345211505889893,水泥建材,2024-10-31
6,002654,万润科技,8.606329917907715,19.56,19.81,4915943936,16532944160.64,16534117760.64,29.85332679748535,-0.30581042170524597,093021,11,6/5,10.049971580505371,文化传媒,2024-10-31
7,601727,上海电气,5.882352828979492,9.0,9.35,8420647680,113897943828.0,140218281216.0,7.208230495452881,-3.7433154582977295,093139,11,9/7,5.529411792755127,电源设备,2024-10-31
8,001316,润贝航科,5.570469856262207,31.46,32.78,122855734,871666152.5,2594191600.0,14.084120750427246,0.03179650381207466,093218,1,0/0,9.765100479125977,贸易行业,2024-10-31
9,002708,光洋股份,8.69140625,11.13,11.26,1645806608,5505625479.06,6256150383.84,30.0954647064209,-0.08976660668849945,093218,7,2/1,5.859375,汽车零部,2024-10-31
10,002570,贝因美,2.3381295204162598,5.69,6.12,2060252384,6145173444.77,6145446536.320001,32.32457733154297,0.0,093400,2,10/6,18.165468215942383,食品饮料,2024-10-31
11,600246,万通发展,6.020557880401611,14.44,14.98,2808967904,28697795531.28,28697795617.92,9.54725456237793,0.2777777910232544,093408,15,5/4,5.139500617980957,房地产开,2024-10-31
12,603330,天洋新材,7.5441412925720215,6.7,6.85,453863408,2898913448.3,2898913441.6,15.701842308044434,0.1494768261909485,093501,2,2/1,6.741572856903076,光伏设备,2024-10-31
