序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
36,002166,莱茵生物,10.060606002807617,9.08,723740544,4662844573.04,6737240434.56,16.1535701751709,93628510,112839,112839,0,1/1,1,中药,2024-05-08
37,300147,香雪制药,19.94818687438965,4.63,384993600,3043708949.46,3061721955.2,13.176301956176758,16531878,130539,130539,0,1/1,1,中药,2024-05-08
8,603739,蔚蓝生物,10.005955696105957,18.47,309577088,4673443155.0199995,4673443155.0199995,6.624176025390625,299969847,092502,092502,0,6/6,6,农牧饲渔,2024-05-08
17,002513,蓝丰生化,9.977324485778809,4.85,43794136,1279954503.25,1813590919.1999998,3.5125539302825928,59953391,093309,093309,0,1/1,1,农药兽药,2024-05-08
46,837023,芭薇股份,29.958507537841797,15.66,106850812,374752459.98,1343628000.0,31.784038543701172,24065285,140404,141452,1,1/1,1,化学制品,2024-05-08
21,000691,亚太实业,10.0,4.07,91630604,1315708900.0,1315708900.0,7.193491458892822,41626332,094400,094400,0,10/5,1,化学制品,2024-05-08
9,603823,百合花,10.010319709777832,10.66,42462127,4381595832.64,4393630716.8,0.9691018462181091,186423295,092502,092502,0,3/3,3,化学制品,2024-05-08
3,002455,百川股份,10.046948432922363,11.72,113121815,5936500870.16,6951994592.0,1.9055302143096924,228823248,092500,092500,0,4/4,4,化学制品,2024-05-08
33,600789,鲁抗医药,10.050890922546387,8.65,1896751936,7750881147.6,7750881216.8,25.254629135131836,132548266,110000,110000,0,4/3,1,化学制药,2024-05-08
44,300966,共同药业,20.0105037689209,22.85,341577232,1637767671.9,2634122910.7000003,22.96247673034668,54148764,133624,133624,0,1/1,1,化学制药,2024-05-08
6,603222,济民医疗,9.985734939575195,7.71,54496130,4142100469.65,4142100415.68,1.3156641721725464,176099175,092501,092501,0,2/2,2,化学制药,2024-05-08
18,000422,湖北宜化,10.034602165222168,12.72,2231512864,12813010433.52,13456064678.400002,17.589975357055664,2318741,093318,142736,8,2/2,2,化学原料,2024-05-08
11,600227,赤天化,9.844559669494629,2.12,44952011,2709740639.6400003,3589444520.96,1.6589045524597168,23584408,093001,093001,0,1/1,1,化肥行业,2024-05-08
40,002432,九安医疗,10.011723518371582,46.92,1872410976,21007937105.4,22935454669.440002,9.165539741516113,97448288,132542,132542,0,1/1,1,医疗器械,2024-05-08
4,300238,冠昊生物,19.96251106262207,12.8,133146931,3393716249.6000004,3393992972.8,3.92333722114563,97652428,092500,092500,0,1/1,1,医疗器械,2024-05-08
22,600807,济南高新,9.965636253356934,3.2,58393030,2518459084.8,2830831155.2000003,2.3820641040802,22838019,094648,094648,0,1/1,1,医疗器械,2024-05-08
14,300813,泰林生物,20.01072883605957,22.37,258799328,1316168813.95,2431975376.4700003,19.939849853515625,45446892,093030,112827,2,1/1,1,医疗器械,2024-05-08
15,300314,戴维医疗,19.96527671813965,13.82,311991712,2616906111.36,3980160000.0,12.094874382019043,39738028,093133,093633,1,1/1,1,医疗器械,2024-05-08
1,000504,南华生物,9.975062370300293,8.82,39345244,2740084712.82,2910803777.28,1.4359134435653687,53461442,092500,092500,0,4/2,1,医疗服务,2024-05-08
13,600682,南京新百,10.085470199584961,6.44,281300528,7502988171.0,8669091522.560001,3.7854955196380615,39773710,093025,094649,1,1/1,1,商业百货,2024-05-08
26,600774,汉商集团,10.067113876342773,8.2,131977664,2417705474.2,2419265680.0,5.565611839294434,17170800,100026,100026,0,1/1,1,商业百货,2024-05-08
32,601933,永辉超市,10.084033966064453,2.62,776270096,23776596921.66,23776596751.36,3.3309504985809326,19913393,105711,141159,6,1/1,1,商业百货,2024-05-08
28,300243,瑞丰高材,20.0,14.76,579076672,2814574732.2,3696208469.2799997,21.98948097229004,65949156,100157,100157,0,1/1,1,塑料制品,2024-05-08
10,603928,兴业股份,10.0,15.84,41192237,3193344000.0,3193344000.0,1.2899404764175415,104314003,092502,092502,0,4/4,4,塑料制品,2024-05-08
5,300272,开能健康,19.927536010742188,6.62,317505632,2853739610.42,3820904802.2400002,11.128321647644043,71301491,092500,100433,1,1/1,1,家电行业,2024-05-08
27,002328,新朋股份,9.922179222106934,5.65,531084736,3208024212.4,4360500500.0,16.737485885620117,3624616,100106,145306,8,1/1,1,汽车零部,2024-05-08
41,600203,福日电子,10.06289291381836,7.0,619144864,4150916574.0,4150916560.0,15.50150203704834,31035200,132816,144422,1,1/1,1,消费电子,2024-05-08
29,601001,晋控煤业,9.987668991088867,17.84,532942624,29858808000.0,29858808000.0,1.8192657232284546,13042824,100312,100312,0,1/1,1,煤炭行业,2024-05-08
43,600796,钱江生化,9.963099479675293,5.96,325032128,1796356778.24,5164851129.6,18.78374481201172,35031074,133325,133325,0,2/2,2,环保行业,2024-05-08
35,603900,莱绅通灵,10.0,7.15,456857952,2434387956.0,2467635456.0,19.590959548950195,5426135,112348,143409,5,1/1,1,珠宝首饰,2024-05-08
16,002693,双成药业,10.018552780151367,5.93,83794005,2439495829.2799997,2471563181.92,3.474677324295044,28227393,093239,093239,0,1/1,1,生物制品,2024-05-08
2,000518,四环生物,10.169490814208984,2.6,80266683,2676792801.8,2676846182.4,2.9986140727996826,40688440,092500,092500,0,1/1,1,生物制品,2024-05-08
7,600645,中源协和,10.016602516174316,19.88,108408562,9299270880.199999,9302824052.48,1.1657748222351074,145357649,092502,092502,0,1/1,1,生物制品,2024-05-08
20,600505,西昌电力,10.044150352478027,9.97,261678444,3634737975.0,3634738014.88,7.395487308502197,40599146,094251,094251,0,3/2,1,电力行业,2024-05-08
23,600744,华银电力,9.880239486694336,3.67,536438528,7454226085.58,7454226078.24,7.349347114562988,27195808,094751,104524,1,1/1,1,电力行业,2024-05-08
45,603931,格林达,9.98593521118164,23.46,114959960,4681639594.8,4681639594.8,2.5619094371795654,25521101,135728,135728,0,1/1,1,电子化学,2024-05-08
24,002591,恒大高新,10.085836410522461,5.13,115330816,1146039240.06,1540023373.44,10.369790077209473,62217147,095748,095748,0,1/1,1,综合行业,2024-05-08
25,603838,四通股份,10.032894134521484,6.69,269429168,2140907040.0000002,2140907040.0000002,12.831144332885742,12203229,095959,143338,5,1/1,1,装修建材,2024-05-08
42,002225,濮耐股份,10.10362720489502,4.25,392464592,3508365913.5,4294080660.0,11.496889114379883,13915350,133318,133754,3,1/1,1,装修建材,2024-05-08
34,601069,西部黄金,10.01540756225586,14.28,732343648,9767416612.8,13178348494.08,7.738279342651367,18622405,111800,144406,4,1/1,1,贵金属,2024-05-08
19,600990,四创电子,10.0145845413208,22.63,873806464,6087757310.48,6246085661.44,14.533597946166992,24132813,093510,131343,6,2/2,2,通信设备,2024-05-08
30,000816,智慧农业,10.0,2.53,162118176,3635335677.16,3660943679.3599997,4.587155818939209,26516368,102909,102909,0,1/1,1,通用设备,2024-05-08
31,600611,大众交通,9.929078102111816,3.1,280748912,4846280728.400001,7328780878.400001,5.897290229797363,37587391,104105,104105,0,1/1,1,铁路公路,2024-05-08
38,002840,华统股份,10.0046968460083,23.42,289950384,10948992229.66,14494672474.240002,2.7502219676971436,39928313,130954,130954,0,1/1,1,食品饮料,2024-05-08
39,600866,星湖科技,10.0,7.26,1146265376,7256932185.36,12062291250.24,16.625337600708008,90220339,132521,132521,0,3/2,1,食品饮料,2024-05-08
12,300175,朗源股份,19.947158813476562,9.08,1073787856,4274864000.0,4274864000.0,25.70574188232422,100061600,093006,101557,2,3/2,1,食品饮料,2024-05-08
