序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
82,605288,凯迪股份,-8.328322410583496,30.49,36.59,59619790,2140364826.8799999,2140364826.8799999,2.701946496963501,-0.032786883413791656,1,2.786090612411499,0/0,1,专用设备,2024-08-20
79,688290,景业智能,-6.533127784729004,30.33,38.94,30616430,1844859646.8899999,3099414025.62,1.5874220132827759,0.0,1,2.5839807987213135,0/0,1,专用设备,2024-08-20
78,300875,捷强装备,-6.426931858062744,24.46,31.37,394079616,1612874470.8200002,2441958009.46,23.41753387451172,0.0,1,1.051214337348938,2/1,1,专用设备,2024-08-20
24,300004,南风股份,6.843267440795898,4.84,5.44,337994880,2323169014.3199997,2323169024.0,13.866409301757812,0.0,1,5.9218878746032715,0/0,1,专用设备,2024-08-20
4,300518,新迅达,20.0,11.22,11.22,342934128,2237041838.46,2237397882.7200003,16.015457153320312,0.0,1,6.0278143882751465,2/2,3,互联网服,2024-08-20
8,300532,今天国际,11.287758827209473,14.0,15.1,463760176,4135419358.0,4343238144.0,11.178533554077148,0.0,1,6.679286479949951,0/0,1,互联网服,2024-08-20
32,605398,新炬网络,3.4776904582977295,15.77,16.76,151845461,2566037296.83,2566037296.83,5.937782287597656,0.0,1,8.75516414642334,2/1,1,互联网服,2024-08-20
53,601319,中国人保,0.0,5.73,6.3,271315856,203402145220.59003,253403465725.44003,0.13347607851028442,0.0,1,0.985750138759613,0/0,1,保险,2024-08-20
9,300296,利亚德,11.059907913208008,4.82,5.21,680609456,10083999703.220001,12191688797.12,6.859511852264404,0.0,1,4.812807083129883,0/0,1,光学光电,2024-08-20
10,300241,瑞丰光电,10.199005126953125,4.43,4.82,629469472,2533183079.89,3039915190.72,24.113534927368164,0.0,1,3.1929845809936523,0/0,1,光学光电,2024-08-20
86,002952,亚世光电,-9.979798316955566,22.28,27.23,447821120,2941963312.96,3661495200.0,15.049261093139648,0.0,0,1.6725820302963257,6/4,2,光学光电,2024-08-20
16,600187,国中水务,9.933774948120117,3.32,3.32,1278046064,5357753261.96,5357753265.28,24.456161499023438,0.0,0,1.3263357877731323,22/11,2,公用事业,2024-08-20
38,300665,飞鹿股份,1.9642857313156128,5.71,6.72,179146018,860232615.58,1082035384.36,20.178388595581055,0.0,1,2.0602478981018066,0/0,1,化学制品,2024-08-20
83,002370,亚太药业,-8.605341911315918,3.08,3.71,420108896,1876274652.56,1876274646.4,21.969924926757812,0.0,0,2.3401551246643066,4/3,2,化学制药,2024-08-20
64,002020,京新药业,-1.0309277772903442,11.52,12.8,164136919,7561736847.36,9919055646.72,2.157888889312744,0.0,1,0.6781787872314453,0/0,1,化学制药,2024-08-20
48,688117,圣诺生物,0.5092048645019531,25.66,30.64,68594737,2873920000.0,2873920000.0,2.3306026458740234,0.0,1,0.8189249634742737,0/0,1,化学制药,2024-08-20
