,周一0115,周二0116,周三0117,周四0118,周五0119
市场焦点股,"长白山 10天8板;
大连亚圣 9天6板;
深中华A 5连板;","清源股份 18天11板;
亚世光电 19天10板;
尚纬股份 13天8板;
大连亚圣 10天7板2连板;
深中华A 6连板;","长白山 12天9板;
深中华A 7连板;","清源股份 20天12板;
深中华A 8连板;
华立股份 6天5板2连板;","深中华A 9连板;
哈森股份 4连板;
晨光新材 4连板;"
华为鸿蒙,"2只;
华立股份 3连板;",,,,
芯片产业链,2只;,,,,
光伏,"5只;
绿康生化 3连板;
耀皮玻璃 2连板;
江苏华辰 2连板;","6只;
清源股份 18天11板;
尚纬股份 13天8板;
绿康生化 4连板;
耀皮玻璃 3连板;",,"13只;
清源股份 20天12板;
晨光新材 3连板;
罗普斯金 2连板;
元利科技 2连板;
安彩高科 3天2板;","3只;
晨光新材 4连板;
英力特 2连板;"
氢能,"6只;
东华科技 2连板;
赫美集团 3天2板;",,,,3只;
多胎概念,"3只;
西陇科学 6天3板;",,,,
旅游,"5只;
长白山 10天8板;
大连亚圣 9天6板;","3只;
大连亚圣 10天7板2连板;
九华旅游 6天3板2连板;",,,2只;
零售,"3只;
茂业商业 3连板;",,,,
有机硅,,"3只;
宏达新材 2连板;","3只;
宏达新材 3连板;
晨光新材 2连板;
宏柏新材 2连板;",,
智能电网,,"2只;
江苏华辰 3连板;",2只;,,
锂电池,,"2只;
深中华A 6连板;","2只;
深中华A 7连板;","3只;
深中华A 8连板;
恒星新材 6天3板;",
飞行汽车,,"3只;
光洋股份 5天4板;",,,
基建,,2只;,,,
大金融,,2只;,"3只;
华金资本 6天3板2连板;
新力金融 2连板;","2只;
新力金融 3连板;",
北交所,,8只:,4只;,18只;,12只;
纺织服装,,,"4只;
龙头股份 2连板;","3只;
华升股份 2连板;
华生科技 2连板;","5只;
华升股份 3连板;
九牧王 2连板;"
出海概念,,,"5只;
广博股份 3天2板;",,
春运概念,,,2只;,,
MR,,,,2只;,
光通信,,,,3只;,
钠电池,,,,"2只;
同兴环保 2连板;",
华字辈,,,,"5只;
华立股份 6天5板2连板;
华瓷股份 2连板;","3只;
深中华A 9连板;
华控赛格 2连板;"
算力,,,,,3只;
游戏&传媒,,,,,5只;
高外销占比,,,,,"6只;
华瓷股份 3连板;
音飞储存 2连板;"
