类别,周一0513,周二0514,周三0515,周四0516,周五0517
市场焦点股,"南都物业 5天4板3连板;
西昌电力 6天4板2连板;
播恩集团 7天4板2连板;","西昌电力 7天5板3连板;
积成电子 4连板;
南京化纤 3连板;","南京化纤 4连板;
万里股份 5天3板2连板;
正丹股份 3天2板;","南京化纤 5连板;
南都物业 8天5板;
建艺集团 3连板;
亚振家居 3连板;","南京化纤 6连板;
南都物业 9天6板2连板;
亚振家居 4连板;
天地源 6天4板3连板;"
人工智能,2只;,"6只;
声迅股份 2连板;",,,
高铁,3只;,,,,
公用事业,"6只;
西昌电力 6天4板2连板;
明星电力 2连板;
乐山电力 2连板;","3只;
西昌电力 7天5板3连板;
明星电力 3连板;",,,
智能电网,"5只;
积成电子 3连板;
泰永长征 2连板;","5只;
积成电子 4连板;
远东股份 3天2板;",,,
家电,3只;,,,,
合成生物,"6只;
播恩集团 7天4板2连板;
嘉华股份 2连板;
双成药业 4天2板;",,,,
化纤,"3只;
南京化纤 2连板;","4只;
南京化纤 3连板;","11只;
南京化纤 4连板;
北化股份 2连板;
正丹股份 3天2板;","6只;
南京化纤 5连板;","11只;
南京化纤 6连板;
常青科技 2连板;
苏州龙杰 3天2板;
尤夫股份 3天2板;"
航运,"2只;
凤凰航运 3天2板;",,,,
游戏,,7只;,,,
机器人,,6只;,,,
汽车产业链,,"4只;
中通客车 2连板;",,,
民爆,,"4只;
高争民爆 8天4板;",,,
出海概念,,2只;,,,
低空经济,,,3只;,4只;,"15只;
声迅股份 5天3板;
长源东谷 2连板;"
稀土永磁,,,2只;,,
房地产,,,"4只;
天地源 4天2板;","19只;
南都物业 8天5板;
亚振家居 3连板;
建艺集团 3连板;
天地源 5天3板2连板;
云南城投 2连板;","35只;
南都物业 9天6板2连板;
亚振家居 4连板;
天地源 6天4板3连板;
三棵树 3连板;
我爱我家 2连板;
世联行 2连板;
安居宝 2连板;
中天服务 2连板;
滨江集团 2连板;
荣盛发展 2连板;
南国置业 2连板;
合肥城建 2连板;"
传媒,,,"2只;
凯撒文化 2连板;",,
高速连接器,,,,3只;,"3只;
华脉科技 2连板;"
基建,,,,"8只;
三棵树 2连板;",
MR,,,,,3只;
芯片产业链&玻璃基板,,,,,12只;
