类别,周一0930,周二1001,周三1002,周四1003,周五1004
市场焦点股,"双成药业 12连板;
银之杰 8天7板5连板;
海能达 8天7板;
中南股份 10天7板6连板;
亚泰集团 6连板;
恒银科技 6连板;",,,,
医药,"4只;
药明康德 2连板;
长春高新 2连板;
昭衍新药 2连板;
金域医学 2连板;",,,,
金融科技,"17只;
银之杰 8天7板5连板;
恒银科技 6连板;
指南针 5天3板2连板;
顶点软件 5天3板2连板;
金证股份 5天3板2连板;
汇金科技 5天3板;
安硕信息 2连板;
英方软件 2连板;
赢时胜 2连板;
天玑科技 2连板;
润和软件 2连板;
同花顺 2连板;
天利科技 2连板;
恒生电子 2连板;
大智慧 2连板;
旗天科技 2连板;
华峰超纤 2连板;",,,,
大金融,"24只;
天茂集团 20天11板;
亚泰集团 6连板;
天风证券 5连板;
五矿资本 5连板;
中粮资本 5连板;
国海证券 5连板;
中航产融 5天4板;
爱建集团 5天4板;
新力金融 7天4板;
中银证券 3连板;
长江证券 3连板;
海德股份 5天3板;
南华期货 5天3板;
天晟新材 2连板;
东方财富 2连板;
中信证券 2连板;
财达证券 2连板;
西部证券 2连板;
山西证券 2连板;
国盛金控 2连板;
第一创业 2连板;
华林证券 2连板;
郑州银行 2连板;
中油资本 4天2板;",,,,
光伏,"7只;
汉嘉设计 2连板;
拓日新能 2连板;
绿康生化 2连板;
福莱特 2连板;
京运通 2连板;
晶澳科技 2连板;
鸿路钢构 3天2板;",,,,
锂电池,"6只;
天齐锂业 5天3板2连板;
寒锐钴业 2连板;
腾远钴业 2连板;
华友钴业 2连板;
融捷股份 2连板;
西藏矿业 2连板;",,,,
芯片产业链,2只;,,,,
汽车产业链,"7只;
国华网安 9天5板;
中海达 2连板;
锐明技术 2连板;
众泰汽车 2连板;
启明星辰 2连板;
日盈电子 3天2板;
联创电子 3天2板;",,,,
食品饮料,"21只;
岩石股份 8天6板3连板;
皇台酒业 8天4板;
品渥食品 3连板;
舍得酒业 3连板;
酒鬼酒 3连板;
泸州老窖 3连板;
古井贡酒 3连板;
山西汾酒 3连板;
水井坊 3连板;
安井食品 3连板;
金种子酒 3连板;
天味食品 3连板;
五粮液 3连板;
贝因美 2连板;
新乳业 2连板;
安德利 2连板;
今世缘 3天2板;
绝味食品 3天2板;
千味央厨 3天2板;
千禾味业 3天2板;
迎驾贡酒 3天2板;",,,,
零售,"5只;
永辉超市 5连板;
美凯龙 4连板;
华联股份 3连板;
友好集团 4天3板;
中国中免 3天2板;",,,,
医美,"2只;
爱美客 2连板;
润本股份 2连板;",,,,
房地产,"22只;
阳光股份 5连板;
卓朗科技 8天5板;
中交地产 10天5板;
金融街 4连板;
特发服务 3连板;
华侨城A 3连板;
绿地控股 3连板;
金地集团 3连板;
世联行 3连板;
荣盛发展 3连板;
万科A 3连板;
云南城投 3连板;
衢州发展 3连板;
新城控股 3连板;
我爱我家 3连板;
光大嘉宝 3连板;
城投控股 3连板;
信达地产 3连板;
保利发展 3连板;
城建发展 3连板;
华夏幸福 3连板;
津投城开 3连板;",,,,
家居装饰,"6只;
三棵树 3连板;
美克家居 3连板;
东方雨虹 3连板;
坚朗五金 3连板;
我乐家居 3连板;
茶花股份 3连板;",,,,
华为产业链,"3只;
深圳华强 31天17板;
海能达 8天7板;
常山北明 13天7板;",,,,
数据要素,"4只;
零点有数 2连板;
延华智能 2连板;
太极股份 2连板;
深桑达 2连板;",,,,
并购重组,"3只;
双成药业 12连板;
合肥城建 4连板;
思林杰 4天3板;",,,,
